数据库类型		数据名称				描述对象	数据性质	提示词内容	数据描述	应用	可组合结构	数据来源	时效周期	应用类型标签
商业数据库	行业数据库	第二产业	制造业	金属制品、机械和设备修理业	行业数据要素	供给端	定性/定量	"1、查询金属制品、机械和设备修理业的行业数据要素数据
2、查询xx地区金属制品、机械和设备修理业的行业数据要素数据
3、对比不同地区金属制品、机械和设备修理业的行业数据要素数据"	定量数据，例如购买频率、购买金额等；定性数据，例如购买的原因、购买的场景等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	金属制品、机械和设备修理业
商业数据库	行业数据库	第二产业	电力、热力、燃气及水生产和供应业	电力、热力生产和供应业	行业数据要素	供给端	定性/定量	"1、查询电力、热力生产和供应业的行业数据要素数据
2、查询xx地区电力、热力生产和供应业的行业数据要素数据
3、对比不同地区电力、热力生产和供应业的行业数据要素数据"	电力、热力生产和供应业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	电力、热力生产和供应业
商业数据库	行业数据库	第二产业	电力、热力、燃气及水生产和供应业	燃气生产和供应业	行业数据要素	供给端	定性/定量	"1、查询燃气生产和供应业的行业数据要素数据
2、查询xx地区燃气生产和供应业的行业数据要素数据
3、对比不同地区燃气生产和供应业的行业数据要素数据"	燃气生产和供应业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	燃气生产和供应业
商业数据库	行业数据库	第二产业	电力、热力、燃气及水生产和供应业	水的生产和供应业	行业数据要素	供给端	定性/定量	"1、查询水的生产和供应业的行业数据要素数据
2、查询xx地区水的生产和供应业的行业数据要素数据
3、对比不同地区水的生产和供应业的行业数据要素数据"	水的生产和供应业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	水的生产和供应业
商业数据库	行业数据库	第二产业	建筑业 	房屋建筑业	行业数据要素	供给端	定性/定量	"1、查询房屋建筑业的行业数据要素数据
2、查询xx地区房屋建筑业的行业数据要素数据
3、对比不同地区房屋建筑业的行业数据要素数据"	房屋建筑业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	房屋建筑业
商业数据库	行业数据库	第二产业	建筑业 	土木工程建筑业	行业数据要素	供给端	定性/定量	"1、查询土木工程建筑业的行业数据要素数据
2、查询xx地区土木工程建筑业的行业数据要素数据
3、对比不同地区土木工程建筑业的行业数据要素数据"	定量数据，例如竞争对手的市场份额、销售额等；定性数据，例如竞争对手的策略、产品、品牌等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	土木工程建筑业
商业数据库	行业数据库	第二产业	建筑业 	建筑安装业 	行业数据要素	供给端	定性/定量	"1、查询建筑安装业 的行业数据要素数据
2、查询xx地区建筑安装业 的行业数据要素数据
3、对比不同地区建筑安装业 的行业数据要素数据"	定量数据，例如市场增长率、新产品发布数量等；定性数据，例如新的消费者行为、新的技术或规定等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	建筑安装业 
商业数据库	行业数据库	第二产业	建筑业 	建筑装饰、装修和其他建筑业	行业数据要素	供给端	定性/定量	"1、查询建筑装饰、装修和其他建筑业的行业数据要素数据
2、查询xx地区建筑装饰、装修和其他建筑业的行业数据要素数据
3、对比不同地区建筑装饰、装修和其他建筑业的行业数据要素数据"	建筑装饰、装修和其他建筑业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	建筑装饰、装修和其他建筑业
商业数据库	行业数据库	第三产业	批发和零售业	批发业	行业数据要素	供给端	定性/定量	"1、查询批发业的行业数据要素数据
2、查询xx地区批发业的行业数据要素数据
3、对比不同地区批发业的行业数据要素数据"	批发业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	批发业
商业数据库	行业数据库	第三产业	批发和零售业	零售业	行业数据要素	供给端	定性/定量	"1、查询零售业的行业数据要素数据
2、查询xx地区零售业的行业数据要素数据
3、对比不同地区零售业的行业数据要素数据"	零售业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	零售业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	铁路运输业	行业数据要素	供给端	定性/定量	"1、查询铁路运输业的行业数据要素数据
2、查询xx地区铁路运输业的行业数据要素数据
3、对比不同地区铁路运输业的行业数据要素数据"	铁路运输业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	铁路运输业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	道路运输业	行业数据要素	供给端	定性/定量	"1、查询道路运输业的行业数据要素数据
2、查询xx地区道路运输业的行业数据要素数据
3、对比不同地区道路运输业的行业数据要素数据"	道路运输业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	道路运输业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	水上运输业	行业数据要素	供给端	定性/定量	"1、查询水上运输业的行业数据要素数据
2、查询xx地区水上运输业的行业数据要素数据
3、对比不同地区水上运输业的行业数据要素数据"	水上运输业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	水上运输业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	航空运输业 	行业数据要素	供给端	定性/定量	"1、查询航空运输业 的行业数据要素数据
2、查询xx地区航空运输业 的行业数据要素数据
3、对比不同地区航空运输业 的行业数据要素数据"	航空运输业 行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	航空运输业 
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	管道运输业	行业数据要素	供给端	定性/定量	"1、查询管道运输业的行业数据要素数据
2、查询xx地区管道运输业的行业数据要素数据
3、对比不同地区管道运输业的行业数据要素数据"	管道运输业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	管道运输业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	多式联运和运输代理业	行业数据要素	供给端	定性/定量	"1、查询多式联运和运输代理业的行业数据要素数据
2、查询xx地区多式联运和运输代理业的行业数据要素数据
3、对比不同地区多式联运和运输代理业的行业数据要素数据"	多式联运和运输代理业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	多式联运和运输代理业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	装卸搬运和仓储业	行业数据要素	供给端	定性/定量	"1、查询装卸搬运和仓储业的行业数据要素数据
2、查询xx地区装卸搬运和仓储业的行业数据要素数据
3、对比不同地区装卸搬运和仓储业的行业数据要素数据"	装卸搬运和仓储业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	装卸搬运和仓储业
商业数据库	行业数据库	第三产业	交通运输、仓储和邮政业	邮政业	行业数据要素	供给端	定性/定量	"1、查询邮政业的行业数据要素数据
2、查询xx地区邮政业的行业数据要素数据
3、对比不同地区邮政业的行业数据要素数据"	邮政业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	邮政业
商业数据库	行业数据库	第三产业	住宿和餐饮业	住宿业	行业数据要素	供给端	定性/定量	"1、查询住宿业的行业数据要素数据
2、查询xx地区住宿业的行业数据要素数据
3、对比不同地区住宿业的行业数据要素数据"	住宿业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	住宿业
商业数据库	行业数据库	第三产业	住宿和餐饮业	餐饮业	行业数据要素	供给端	定性/定量	"1、查询餐饮业的行业数据要素数据
2、查询xx地区餐饮业的行业数据要素数据
3、对比不同地区餐饮业的行业数据要素数据"	餐饮业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	餐饮业
商业数据库	行业数据库	第三产业	信息传输、软件和信息技术服务业	电信、广播电视和卫星传输服务	行业数据要素	供给端	定性/定量	"1、查询电信、广播电视和卫星传输服务的行业数据要素数据
2、查询xx地区电信、广播电视和卫星传输服务的行业数据要素数据
3、对比不同地区电信、广播电视和卫星传输服务的行业数据要素数据"	定量数据，例如不合格产品的比例、退货率等；定性数据，例如产品质量问题的类型、客户反馈等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	电信、广播电视和卫星传输服务
商业数据库	行业数据库	第三产业	信息传输、软件和信息技术服务业	互联网和相关服务	行业数据要素	供给端	定性/定量	"1、查询互联网和相关服务的行业数据要素数据
2、查询xx地区互联网和相关服务的行业数据要素数据
3、对比不同地区互联网和相关服务的行业数据要素数据"	定量数据，例如销售额、生产量等；定性数据，例如员工的技能、表现等		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	互联网和相关服务
商业数据库	行业数据库	第三产业	信息传输、软件和信息技术服务业	软件和信息技术服务业	行业数据要素	供给端	定性/定量	"1、查询软件和信息技术服务业的行业数据要素数据
2、查询xx地区软件和信息技术服务业的行业数据要素数据
3、对比不同地区软件和信息技术服务业的行业数据要素数据"	软件和信息技术服务业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	软件和信息技术服务业
商业数据库	行业数据库	第三产业	金融业	货币金融服务	行业数据要素	供给端	定性/定量	"1、查询货币金融服务的行业数据要素数据
2、查询xx地区货币金融服务的行业数据要素数据
3、对比不同地区货币金融服务的行业数据要素数据"	货币金融服务行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	货币金融服务
商业数据库	行业数据库	第三产业	金融业	资本市场服务	行业数据要素	供给端	定性/定量	"1、查询资本市场服务的行业数据要素数据
2、查询xx地区资本市场服务的行业数据要素数据
3、对比不同地区资本市场服务的行业数据要素数据"	资本市场服务行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	资本市场服务
商业数据库	行业数据库	第三产业	金融业	保险业	行业数据要素	供给端	定性/定量	"1、查询保险业的行业数据要素数据
2、查询xx地区保险业的行业数据要素数据
3、对比不同地区保险业的行业数据要素数据"	保险业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	保险业
商业数据库	行业数据库	第三产业	金融业	其他金融业	行业数据要素	供给端	定性/定量	"1、查询其他金融业的行业数据要素数据
2、查询xx地区其他金融业的行业数据要素数据
3、对比不同地区其他金融业的行业数据要素数据"	其他金融业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	其他金融业
商业数据库	行业数据库	第三产业	房地产业	房地产业	行业数据要素	供给端	定性/定量	"1、查询房地产业的行业数据要素数据
2、查询xx地区房地产业的行业数据要素数据
3、对比不同地区房地产业的行业数据要素数据"	房地产业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	房地产业
商业数据库	行业数据库	第三产业	租赁和商务服务业	租赁业	行业数据要素	供给端	定性/定量	"1、查询租赁业的行业数据要素数据
2、查询xx地区租赁业的行业数据要素数据
3、对比不同地区租赁业的行业数据要素数据"	租赁业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	租赁业
商业数据库	行业数据库	第三产业	租赁和商务服务业	商务服务业	行业数据要素	供给端	定性/定量	"1、查询商务服务业的行业数据要素数据
2、查询xx地区商务服务业的行业数据要素数据
3、对比不同地区商务服务业的行业数据要素数据"	商务服务业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	商务服务业
商业数据库	行业数据库	第三产业	科学研究和技术服务业	研究和试验发展	行业数据要素	供给端	定性/定量	"1、查询研究和试验发展的行业数据要素数据
2、查询xx地区研究和试验发展的行业数据要素数据
3、对比不同地区研究和试验发展的行业数据要素数据"	研究和试验发展行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	研究和试验发展
商业数据库	行业数据库	第三产业	科学研究和技术服务业	专业技术服务业	行业数据要素	供给端	定性/定量	"1、查询专业技术服务业的行业数据要素数据
2、查询xx地区专业技术服务业的行业数据要素数据
3、对比不同地区专业技术服务业的行业数据要素数据"	专业技术服务业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	专业技术服务业
商业数据库	行业数据库	第三产业	科学研究和技术服务业	科技推广和应用服务业	行业数据要素	供给端	定性/定量	"1、查询科技推广和应用服务业的行业数据要素数据
2、查询xx地区科技推广和应用服务业的行业数据要素数据
3、对比不同地区科技推广和应用服务业的行业数据要素数据"	科技推广和应用服务业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	科技推广和应用服务业
商业数据库	行业数据库	第三产业	水利、环境和公共设施管理业	水利管理业	行业数据要素	供给端	定性/定量	"1、查询水利管理业的行业数据要素数据
2、查询xx地区水利管理业的行业数据要素数据
3、对比不同地区水利管理业的行业数据要素数据"	水利管理业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	水利管理业
商业数据库	行业数据库	第三产业		生态保护和环境治理业	行业数据要素	供给端	定性/定量	"1、查询生态保护和环境治理业的行业数据要素数据
2、查询xx地区生态保护和环境治理业的行业数据要素数据
3、对比不同地区生态保护和环境治理业的行业数据要素数据"	生态保护和环境治理业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	生态保护和环境治理业
商业数据库	行业数据库	第三产业		公共设施管理业	行业数据要素	供给端	定性/定量	"1、查询公共设施管理业的行业数据要素数据
2、查询xx地区公共设施管理业的行业数据要素数据
3、对比不同地区公共设施管理业的行业数据要素数据"	公共设施管理业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	公共设施管理业
商业数据库	行业数据库	第三产业		土地管理业 	行业数据要素	供给端	定性/定量	"1、查询土地管理业 的行业数据要素数据
2、查询xx地区土地管理业 的行业数据要素数据
3、对比不同地区土地管理业 的行业数据要素数据"	土地管理业 行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	土地管理业 
商业数据库	行业数据库	第三产业	居民服务、修理和其他服务业	居民服务业	行业数据要素	供给端	定性/定量	"1、查询居民服务业的行业数据要素数据
2、查询xx地区居民服务业的行业数据要素数据
3、对比不同地区居民服务业的行业数据要素数据"	居民服务业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	居民服务业
商业数据库	行业数据库	第三产业		机动车、电子产品和日用产品修理业	行业数据要素	供给端	定性/定量	"1、查询机动车、电子产品和日用产品修理业的行业数据要素数据
2、查询xx地区机动车、电子产品和日用产品修理业的行业数据要素数据
3、对比不同地区机动车、电子产品和日用产品修理业的行业数据要素数据"	机动车、电子产品和日用产品修理业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	机动车、电子产品和日用产品修理业
商业数据库	行业数据库	第三产业		其他服务业 	行业数据要素	供给端	定性/定量	"1、查询其他服务业 的行业数据要素数据
2、查询xx地区其他服务业 的行业数据要素数据
3、对比不同地区其他服务业 的行业数据要素数据"	其他服务业 行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	其他服务业 
商业数据库	行业数据库	第三产业	教育	教育	行业数据要素	供给端	定性/定量	"1、查询教育的行业数据要素数据
2、查询xx地区教育的行业数据要素数据
3、对比不同地区教育的行业数据要素数据"	教育行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	教育
商业数据库	行业数据库	第三产业	卫生和社会工作	卫生	行业数据要素	供给端	定性/定量	"1、查询卫生的行业数据要素数据
2、查询xx地区卫生的行业数据要素数据
3、对比不同地区卫生的行业数据要素数据"	卫生行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	卫生
商业数据库	行业数据库	第三产业		社会工作	行业数据要素	供给端	定性/定量	"1、查询社会工作的行业数据要素数据
2、查询xx地区社会工作的行业数据要素数据
3、对比不同地区社会工作的行业数据要素数据"	社会工作行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	社会工作
商业数据库	行业数据库	第三产业	文化、体育和娱乐业	新闻和出版业	行业数据要素	供给端	定性/定量	"1、查询新闻和出版业的行业数据要素数据
2、查询xx地区新闻和出版业的行业数据要素数据
3、对比不同地区新闻和出版业的行业数据要素数据"	新闻和出版业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	新闻和出版业
商业数据库	行业数据库	第三产业		广播、电视、电影和录音制作业 	行业数据要素	供给端	定性/定量	"1、查询广播、电视、电影和录音制作业 的行业数据要素数据
2、查询xx地区广播、电视、电影和录音制作业 的行业数据要素数据
3、对比不同地区广播、电视、电影和录音制作业 的行业数据要素数据"	广播、电视、电影和录音制作业 行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	广播、电视、电影和录音制作业 
商业数据库	行业数据库	第三产业		文化艺术业	行业数据要素	供给端	定性/定量	"1、查询文化艺术业的行业数据要素数据
2、查询xx地区文化艺术业的行业数据要素数据
3、对比不同地区文化艺术业的行业数据要素数据"	文化艺术业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	文化艺术业
商业数据库	行业数据库	第三产业		体育	行业数据要素	供给端	定性/定量	"1、查询体育的行业数据要素数据
2、查询xx地区体育的行业数据要素数据
3、对比不同地区体育的行业数据要素数据"	体育行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	体育
商业数据库	行业数据库	第三产业		娱乐业	行业数据要素	供给端	定性/定量	"1、查询娱乐业的行业数据要素数据
2、查询xx地区娱乐业的行业数据要素数据
3、对比不同地区娱乐业的行业数据要素数据"	娱乐业行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	娱乐业
商业数据库	行业数据库	第三产业	公共管理、社会保障和社会组织	中国共产党机关	行业数据要素	供给端	定性/定量	"1、查询中国共产党机关的行业数据要素数据
2、查询xx地区中国共产党机关的行业数据要素数据
3、对比不同地区中国共产党机关的行业数据要素数据"	中国共产党机关行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	中国共产党机关
商业数据库	行业数据库	第三产业		国家机构	行业数据要素	供给端	定性/定量	"1、查询国家机构的行业数据要素数据
2、查询xx地区国家机构的行业数据要素数据
3、对比不同地区国家机构的行业数据要素数据"	国家机构行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	国家机构
商业数据库	行业数据库	第三产业		人民政协、民主党派	行业数据要素	供给端	定性/定量	"1、查询人民政协、民主党派的行业数据要素数据
2、查询xx地区人民政协、民主党派的行业数据要素数据
3、对比不同地区人民政协、民主党派的行业数据要素数据"	人民政协、民主党派行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	人民政协、民主党派
商业数据库	行业数据库	第三产业		社会保障	行业数据要素	供给端	定性/定量	"1、查询社会保障的行业数据要素数据
2、查询xx地区社会保障的行业数据要素数据
3、对比不同地区社会保障的行业数据要素数据"	社会保障行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	社会保障
商业数据库	行业数据库	第三产业		群众团体、社会团体和其他成员组织	行业数据要素	供给端	定性/定量	"1、查询群众团体、社会团体和其他成员组织的行业数据要素数据
2、查询xx地区群众团体、社会团体和其他成员组织的行业数据要素数据
3、对比不同地区群众团体、社会团体和其他成员组织的行业数据要素数据"	群众团体、社会团体和其他成员组织行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	群众团体、社会团体和其他成员组织
商业数据库	行业数据库	第三产业		基层群众自治组织及其他组织	行业数据要素	供给端	定性/定量	"1、查询基层群众自治组织及其他组织的行业数据要素数据
2、查询xx地区基层群众自治组织及其他组织的行业数据要素数据
3、对比不同地区基层群众自治组织及其他组织的行业数据要素数据"	基层群众自治组织及其他组织行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	基层群众自治组织及其他组织
商业数据库	行业数据库	第三产业	国际组织	国际组织	行业数据要素	供给端	定性/定量	"1、查询国际组织的行业数据要素数据
2、查询xx地区国际组织的行业数据要素数据
3、对比不同地区国际组织的行业数据要素数据"	国际组织行业的核心数据指标，包括市场规模、增长率、竞争格局、供应链等维度		全球-国家-行业,国家-行业vs行业,国家-地区-行业	中国国家统计局,行业协会,Wind,同花顺,企查查,天眼查	年/季	国际组织
商业数据库	企业数据库	上市公司数据库			财务数据	供给端	定量数据	"1、查询xx上市公司的财务数据
2、对比xx公司与xx公司的财务数据
3、查询xx行业上市公司财务数据排名"	企业层面的财务数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
商业数据库	企业数据库	上市公司数据库			市场数据	消费端	定量数据	"1、查询xx上市公司的市场数据
2、对比xx公司与xx公司的市场数据
3、查询xx行业上市公司市场数据排名"	企业层面的市场数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
商业数据库	企业数据库	上市公司数据库			运营数据	供给端	定量数据	"1、查询xx上市公司的运营数据
2、对比xx公司与xx公司的运营数据
3、查询xx行业上市公司运营数据排名"	企业层面的运营数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
商业数据库	企业数据库	上市公司数据库			宏观数据	供给端	定量数据	"1、查询xx上市公司的宏观数据
2、对比xx公司与xx公司的宏观数据
3、查询xx行业上市公司宏观数据排名"	企业层面的宏观数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
商业数据库	企业数据库	上市公司数据库			企业治理数据	供给端	定量数据	"1、查询xx上市公司的企业治理数据
2、对比xx公司与xx公司的企业治理数据
3、查询xx行业上市公司企业治理数据排名"	企业层面的企业治理数据，用于企业分析和决策		行业-企业,企业vs企业,企业-时间序列	Wind,同花顺,东方财富,巨潮资讯,SEC/港交所/上交所/深交所	季/年	企业
